ID,MATCHID,ROBOTID,ALLIANCE,ROBOTNUMBER
61,1,22,B,1
62,2,12,B,1
63,3,36,B,1
64,4,23,B,1
65,5,28,B,1
66,6,37,B,1
67,7,18,B,1
68,8,30,B,1
69,9,3,B,1
70,10,32,B,1
71,11,20,B,1
72,12,4,B,1
73,13,13,B,1
74,14,9,B,1
75,15,46,B,1
76,16,18,B,1
77,17,26,B,1
78,18,8,B,1
79,19,43,B,1
80,20,6,B,1
81,21,11,B,1
82,22,42,B,1
83,23,35,B,1
84,24,7,B,1
85,1,41,B,2
86,2,47,B,2
87,3,4,B,2
88,4,34,B,2
89,5,29,B,2
90,6,42,B,2
91,7,7,B,2
92,8,43,B,2
93,9,5,B,2
94,10,40,B,2
95,11,16,B,2
96,12,14,B,2
97,13,22,B,2
98,14,8,B,2
99,15,2,B,2
100,16,37,B,2
101,17,17,B,2
102,18,1,B,2
103,19,19,B,2
104,20,36,B,2
105,21,31,B,2
106,22,27,B,2
107,23,13,B,2
108,24,45,B,2
109,1,21,B,3
110,2,10,B,3
111,3,40,B,3
112,4,5,B,3
113,5,45,B,3
114,6,24,B,3
115,7,20,B,3
116,8,1,B,3
117,9,36,B,3
118,10,17,B,3
119,11,24,B,3
120,12,48,B,3
121,13,27,B,3
122,14,38,B,3
123,15,39,B,3
124,16,6,B,3
125,17,48,B,3
126,18,28,B,3
127,19,25,B,3
128,20,33,B,3
129,21,44,B,3
130,22,2,B,3
131,23,46,B,3
132,24,41,B,3
133,1,17,R,1
134,1,3,R,2
135,1,19,R,3
136,2,44,R,1
137,2,6,R,2
138,2,32,R,3
139,3,2,R,1
140,3,26,R,2
141,3,9,R,3
142,4,33,R,1
143,4,11,R,2
144,4,35,R,3
145,5,14,R,1
146,5,38,R,2
147,5,16,R,3
148,6,48,R,1
149,6,25,R,2
150,6,46,R,3
151,7,27,R,1
152,7,39,R,2
153,7,8,R,3
154,8,31,R,1
155,8,15,R,2
156,8,13,R,3
157,9,10,R,1
158,9,29,R,2
159,9,23,R,3
160,10,45,R,1
161,10,33,R,2
162,10,42,R,3
163,11,34,R,1
164,11,44,R,2
165,11,26,R,3
166,12,1,R,1
167,12,19,R,2
168,12,7,R,3
169,13,25,R,1
170,13,28,R,2
171,13,15,R,3
172,14,21,R,1
173,14,12,R,2
174,14,31,R,3
175,15,11,R,1
176,15,47,R,2
177,15,43,R,3
178,16,41,R,1
179,16,35,R,2
180,16,30,R,3
181,17,23,R,2
182,17,14,R,3
183,18,24,R,1
184,18,32,R,2
185,18,3,R,3
186,19,5,R,1
187,19,20,R,2
188,19,12,R,3
189,20,16,R,1
190,20,39,R,2
191,20,37,R,3
192,21,40,R,1
193,21,18,R,2
194,21,22,R,3
195,22,38,R,1
196,22,10,R,2
197,22,30,R,3
198,23,29,R,1
199,23,21,R,2
200,23,4,R,3
201,24,47,R,1
202,24,9,R,2
203,24,34,R,3
204,17,121,R,1
205,61,27,R,1
206,61,24,R,2
207,61,10,R,3
208,61,7,B,1
209,61,48,B,2
210,61,16,B,3
211,62,8,R,1
212,62,39,R,2
213,62,15,R,3
214,62,38,B,1
215,62,30,B,2
216,62,41,B,3
217,63,18,R,1
218,63,44,R,2
219,63,14,R,3
220,63,13,B,1
221,63,47,B,2
222,63,11,B,3
223,64,17,R,1
224,64,21,R,2
225,64,46,R,3
226,64,29,B,1
227,64,23,B,2
228,64,32,B,3
229,65,40,R,1
230,65,34,R,2
231,65,43,R,3
232,65,19,B,1
233,65,33,B,2
234,65,37,B,3
235,66,20,R,1
236,66,6,R,2
237,66,35,R,3
238,66,36,B,1
239,66,1,B,2
240,66,26,B,3
241,67,4,R,1
242,67,28,R,2
243,67,5,R,3
244,67,3,B,1
245,67,12,B,2
246,67,42,B,3
247,68,31,R,1
248,68,45,R,2
249,68,22,R,3
250,68,25,B,1
251,68,9,B,2
252,68,2,B,3
253,69,27,R,1
254,69,21,R,2
255,69,38,R,3
256,69,18,B,1
257,69,33,B,2
258,69,46,B,3
259,70,7,R,1
260,70,26,R,2
261,70,19,R,3
262,70,17,B,1
263,70,44,B,2
264,70,39,B,3
265,71,5,R,1
266,71,11,R,2
267,71,1,R,3
268,71,10,B,1
269,71,48,B,2
270,71,29,B,3
271,72,22,R,1
272,72,47,R,2
273,72,23,R,3
274,72,35,B,1
275,72,16,B,2
276,72,42,B,3
277,73,36,R,1
278,73,2,R,2
279,73,34,R,3
280,73,45,B,1
281,73,15,B,2
282,73,3,B,3
283,74,37,R,1
284,74,4,R,2
285,74,40,R,3
286,74,8,B,1
287,74,9,B,2
288,74,20,B,3
289,75,43,R,1
290,75,25,R,2
291,75,6,R,3
292,75,28,B,1
293,75,24,B,2
294,75,13,B,3
295,76,12,R,1
296,76,14,R,2
297,76,30,R,3
298,76,41,B,1
299,76,32,B,2
300,76,31,B,3
301,77,15,R,1
302,77,7,R,2
303,77,47,R,3
304,77,1,B,1
305,77,29,B,2
306,77,46,B,3
307,78,16,R,1
308,78,38,R,2
309,78,9,R,3
310,78,19,B,1
311,78,5,B,2
312,78,44,B,3
313,79,45,R,1
314,79,28,R,2
315,79,33,R,3
316,79,39,B,1
317,79,13,B,2
318,79,20,B,3
319,80,17,R,1
320,80,42,R,2
321,80,36,R,3
322,80,11,B,1
323,80,40,B,2
324,80,18,B,3
325,81,26,R,1
326,81,32,R,2
327,81,37,R,3
328,81,48,B,1
329,81,2,B,2
330,81,43,B,3
331,82,30,R,1
332,82,23,R,2
333,82,35,R,3
334,82,34,B,1
335,82,4,B,2
336,82,25,B,3
337,83,21,R,1
338,83,41,R,2
339,83,14,R,3
340,83,22,B,1
341,83,6,B,2
342,83,10,B,3
343,84,3,R,1
344,84,24,R,2
345,84,8,R,3
346,84,12,B,1
347,84,27,B,2
348,84,31,B,3
349,85,7,R,1
350,85,20,R,2
351,85,17,R,3
352,85,13,B,1
353,85,38,B,2
354,85,15,B,3
355,86,4,R,1
356,86,44,R,2
357,86,36,R,3
358,86,42,B,1
359,86,37,B,2
360,86,28,B,3
361,87,46,R,1
362,87,25,R,2
363,87,32,R,3
364,87,6,B,1
365,87,1,B,2
366,87,9,B,3
367,88,16,R,1
368,88,12,R,2
369,88,18,R,3
370,88,2,B,1
371,88,39,B,2
372,88,30,B,3
373,89,5,R,1
374,89,29,R,2
375,89,34,R,3
376,89,14,B,1
377,89,43,B,2
378,89,24,B,3
379,90,21,R,1
380,90,45,R,2
381,90,10,R,3
382,90,26,B,1
383,90,3,B,2
384,90,40,B,3
385,91,11,R,1
386,91,27,R,2
387,91,33,R,3
388,91,41,B,1
389,91,22,B,2
390,91,35,B,3
391,92,23,R,1
392,92,19,R,2
393,92,48,R,3
394,92,31,B,1
395,92,8,B,2
396,92,47,B,3
397,93,44,R,1
398,93,30,R,2
399,93,7,R,3
400,93,2,B,1
401,93,6,B,2
402,93,5,B,3
403,94,39,R,1
404,94,45,R,2
405,94,4,R,3
406,94,24,B,1
407,94,17,B,2
408,94,38,B,3
409,95,26,R,1
410,95,18,R,2
411,95,20,R,3
412,95,32,B,1
413,95,22,B,2
414,95,34,B,3
415,96,35,R,1
416,96,43,R,2
417,96,1,R,3
418,96,21,B,1
419,96,8,B,2
420,96,23,B,3
421,97,47,R,1
422,97,10,R,2
423,97,19,R,3
424,97,33,B,1
425,97,36,B,2
426,97,12,B,3
427,98,28,R,1
428,98,3,R,2
429,98,14,R,3
430,98,40,B,1
431,98,46,B,2
432,98,48,B,3
433,99,31,R,1
434,99,25,R,2
435,99,15,R,3
436,99,11,B,1
437,99,37,B,2
438,99,16,B,3
439,100,42,R,1
440,100,13,R,2
441,100,29,R,3
442,100,27,B,1
443,100,41,B,2
444,100,9,B,3
445,101,47,R,1
446,101,24,R,2
447,101,21,R,3
448,101,30,B,1
449,101,10,B,2
450,101,4,B,3
451,102,14,R,1
452,102,48,R,2
453,102,45,R,3
454,102,18,B,1
455,102,35,B,2
456,102,7,B,3
457,103,15,R,1
458,103,5,R,2
459,103,17,R,3
460,103,8,B,1
461,103,28,B,2
462,103,25,B,3
463,104,33,R,1
464,104,13,R,2
465,104,32,R,3
466,104,3,B,1
467,104,16,B,2
468,104,23,B,3
469,105,26,R,1
470,105,9,R,2
471,105,43,R,3
472,105,36,B,1
473,105,11,B,2
474,105,38,B,3
475,106,1,R,1
476,106,31,R,2
477,106,40,R,3
478,106,41,B,1
479,106,34,B,2
480,106,44,B,3
481,107,37,R,1
482,107,29,R,2
483,107,6,R,3
484,107,22,B,1
485,107,39,B,2
486,107,12,B,3
487,108,27,R,1
488,108,42,R,2
489,108,2,R,3
490,108,20,B,1
491,108,46,B,2
492,108,19,B,3
493,109,33,R,1
494,109,7,R,2
495,109,8,R,3
496,109,18,B,1
497,109,36,B,2
498,109,25,B,3
499,110,23,R,1
500,110,13,R,2
501,110,41,R,3
502,110,24,B,1
503,110,26,B,2
504,110,5,B,3
505,111,12,R,1
506,111,21,R,2
507,111,37,R,3
508,111,38,B,1
509,111,14,B,2
510,111,1,B,3
511,112,46,R,1
512,112,42,R,2
513,112,31,R,3
514,112,10,B,1
515,112,43,B,2
516,112,39,B,3
517,113,44,R,1
518,113,40,R,2
519,113,22,R,3
520,113,48,B,1
521,113,4,B,2
522,113,15,B,3
523,114,6,R,1
524,114,16,R,2
525,114,47,R,3
526,114,9,B,1
527,114,17,B,2
528,114,3,B,3
529,115,32,R,1
530,115,2,R,2
531,115,28,R,3
532,115,35,B,1
533,115,34,B,2
534,115,27,B,3
535,116,29,R,1
536,116,19,R,2
537,116,11,R,3
538,116,30,B,1
539,116,20,B,2
540,116,45,B,3
541,117,42,R,1
542,117,26,R,2
543,117,4,R,3
544,117,14,B,1
545,117,31,B,2
546,117,7,B,3
547,118,16,R,1
548,118,1,R,2
549,118,39,R,3
550,118,40,B,1
551,118,21,B,2
552,118,36,B,3
553,119,38,R,1
554,119,10,R,2
555,119,2,R,3
556,119,6,B,1
557,119,23,B,2
558,119,28,B,3
559,120,34,R,1
560,120,8,R,2
561,120,11,R,3
562,120,13,B,1
563,120,22,B,2
564,120,46,B,3
565,121,25,R,1
566,121,29,R,2
567,121,30,R,3
568,121,44,B,1
569,121,33,B,2
570,121,3,B,3
571,122,32,R,1
572,122,27,R,2
573,122,5,R,3
574,122,37,B,1
575,122,47,B,2
576,122,45,B,3
577,123,48,R,1
578,123,12,R,2
579,123,17,R,3
580,123,20,B,1
581,123,43,B,2
582,123,41,B,3
583,124,9,R,1
584,124,18,R,2
585,124,19,R,3
586,124,15,B,1
587,124,35,B,2
588,124,24,B,3
589,125,1,R,1
590,125,25,R,2
591,125,33,R,3
592,125,4,B,1
593,125,2,B,2
594,125,14,B,3
595,126,16,R,1
596,126,8,R,2
597,126,29,R,3
598,126,28,B,1
599,126,34,B,2
600,126,26,B,3
601,127,5,R,1
602,127,36,R,2
603,127,13,R,3
604,127,31,B,1
605,127,20,B,2
606,127,21,B,3
607,128,40,R,1
608,128,41,R,2
609,128,24,R,3
610,128,47,B,1
611,128,32,B,2
612,128,38,B,3
613,129,22,R,1
614,129,11,R,2
615,129,9,R,3
616,129,23,B,1
617,129,39,B,2
618,129,7,B,3
619,130,35,R,1
620,130,46,R,2
621,130,10,R,3
622,130,30,B,1
623,130,37,B,2
624,130,17,B,3
625,131,48,R,1
626,131,3,R,2
627,131,6,R,3
628,131,19,B,1
629,131,15,B,2
630,131,42,B,3
631,132,43,R,1
632,132,12,R,2
633,132,44,R,3
634,132,45,B,1
635,132,18,B,2
636,132,27,B,3
637,133,39,R,1
638,133,38,R,2
639,133,26,R,3
640,133,25,B,1
641,133,5,B,2
642,133,47,B,3
643,134,24,R,1
644,134,30,R,2
645,134,22,R,3
646,134,1,B,1
647,134,17,B,2
648,134,28,B,3
649,135,9,R,1
650,135,42,R,2
651,135,48,R,3
652,135,34,B,1
653,135,33,B,2
654,135,21,B,3
655,136,41,R,1
656,136,7,R,2
657,136,3,R,3
658,136,43,B,1
659,136,37,B,2
660,136,18,B,3
661,137,46,R,1
662,137,6,R,2
663,137,45,R,3
664,137,4,B,1
665,137,31,B,2
666,137,16,B,3
667,138,2,R,1
668,138,35,R,2
669,138,13,R,3
670,138,29,B,1
671,138,40,B,2
672,138,12,B,3
673,139,10,R,1
674,139,11,R,2
675,139,44,R,3
676,139,32,B,1
677,139,19,B,2
678,139,8,B,3
679,140,36,R,1
680,140,15,R,2
681,140,20,R,3
682,140,23,B,1
683,140,14,B,2
684,140,27,B,3
